iter	Passed	Remaining
400	16028	23942
401	16063	23895
402	16098	23848
403	16138	23808
404	16183	23776
405	16252	23777
406	16296	23743
407	16333	23700
408	16379	23668
409	16421	23630
410	16464	23595
411	16506	23557
412	16544	23515
413	16581	23469
414	16622	23431
415	16661	23390
416	16706	23356
417	16752	23324
418	16796	23290
419	16840	23255
420	16879	23214
421	16917	23171
422	16953	23125
423	16997	23090
424	17036	23049
425	17085	23020
426	17133	22991
427	17183	22964
428	17221	22921
429	17254	22871
430	17291	22827
431	17325	22780
432	17359	22731
433	17393	22684
434	17429	22638
435	17466	22594
436	17500	22546
437	17532	22496
438	17571	22454
439	17613	22416
440	17654	22378
441	17693	22336
442	17737	22301
443	17770	22253
444	17804	22206
445	17838	22158
446	17876	22115
447	17914	22073
448	17957	22037
449	18039	22047
450	18092	22023
451	18148	22003
452	18199	21975
453	18243	21940
454	18288	21906
455	18329	21867
456	18377	21836
457	18417	21795
458	18462	21760
459	18506	21724
460	18552	21691
461	18592	21650
462	18635	21613
463	18679	21578
464	18719	21537
465	18758	21495
466	18800	21457
467	18839	21416
468	18888	21385
469	18928	21345
470	18965	21300
471	19002	21256
472	19035	21208
473	19069	21161
474	19109	21121
475	19148	21079
476	19186	21037
477	19224	20993
478	19259	20948
479	19291	20899
480	19325	20852
481	19375	20822
482	19416	20783
483	19457	20744
484	19495	20701
485	19536	20661
486	19575	20620
487	19617	20581
488	19663	20548
489	19705	20509
490	19747	20471
491	19782	20425
492	19820	20383
493	19858	20340
494	19892	20294
495	19926	20247
496	19962	20203
497	19996	20157
498	20029	20110
499	20069	20069
500	20108	20028
501	20158	19998
502	20215	19974
503	20274	19952
504	20350	19947
505	20461	19976
506	20516	19949
507	20681	20030
508	20751	20017
509	20807	19991
510	20898	19998
511	20960	19978
512	21024	19958
513	21086	19938
514	21143	19912
515	21223	19907
516	21294	19894
517	21385	19898
518	21521	19946
519	21592	19931
520	21639	19895
521	21693	19864
522	21755	19841
523	21813	19815
524	21899	19813
525	21990	19816
526	22078	19816
527	22139	19790
528	22199	19765
529	22288	19764
530	22357	19746
531	22414	19717
532	22467	19685
533	22547	19676
534	22608	19650
535	22668	19623
536	22730	19598
537	22785	19566
538	22843	19537
539	22945	19546
540	23020	19531
541	23104	19523
542	23183	19511
543	23265	19502
544	23338	19484
545	23466	19512
546	23557	19509
547	23640	19499
548	23737	19500
549	23804	19476
550	23865	19447
551	23968	19452
552	24049	19439
553	24129	19425
554	24200	19403
555	24285	19393
556	24386	19395
557	24465	19379
558	24572	19385
559	24661	19376
560	24743	19362
561	24801	19329
562	24867	19302
563	24939	19279
564	25017	19261
565	25091	19239
566	25203	19247
567	25264	19215
568	25333	19189
569	25396	19158
570	25481	19144
571	25558	19124
572	25635	19103
573	25709	19080
574	25815	19081
575	25899	19064
576	25970	19039
577	26037	19010
578	26120	18992
579	26181	18959
580	26232	18918
581	26286	18879
582	26340	18840
583	26387	18796
584	26460	18771
585	26528	18741
586	26582	18702
587	26634	18662
588	26679	18616
589	26732	18577
590	26777	18531
591	26828	18489
592	26884	18452
593	26938	18412
594	26985	18367
595	27037	18327
596	27091	18287
597	27151	18252
598	27213	18217
599	27268	18179
